account_id,customer_id,account_type,account_status,open_date
ACCT000001,CUST00133,Savings,Active,2022-05-10
ACCT000002,CUST00185,Loan,Closed,2024-02-12
ACCT000003,CUST00195,Savings,Closed,2024-08-15
ACCT000004,CUST00183,Loan,Closed,2025-06-12
ACCT000005,CUST00005,Checking,Active,2022-03-30
ACCT000006,CUST00104,Savings,Active,2024-09-21
ACCT000007,CUST00149,Credit Card,Closed,2024-02-08
ACCT000008,CUST00136,Credit Card,Closed,2025-03-08
ACCT000009,CUST00141,Credit Card,Active,2024-12-10
ACCT000010,CUST00117,Credit Card,Active,2022-05-30
ACCT000011,CUST99999,Checking,Active,2022-10-09
ACCT000012,CUST00031,Savings,Active,2022-03-20
ACCT000013,CUST00190,Loan,Active,2025-01-23
ACCT000014,CUST00151,Credit Card,Active,2025-09-02
ACCT000015,CUST00050,Credit Card,Active,2023-01-10
ACCT000016,CUST00046,Credit Card,Active,2024-12-21
ACCT000017,CUST00137,Savings,Active,2021-04-04
ACCT000018,CUST00250,Checking,Active,2024-11-29
ACCT000019,CUST00242,Savings,Closed,2021-07-30
ACCT000020,CUST00224,Checking,Active,2023-08-20
ACCT000021,CUST00123,Loan,Active,2022-01-13
ACCT000022,CUST00248,Checking,Active,2025-10-31
ACCT000023,CUST00123,Checking,Active,2023-04-01
ACCT000024,CUST00126,Checking,Active,2021-11-07
ACCT000025,CUST00039,Credit Card,Active,2022-05-24
ACCT000026,CUST00031,Loan,Active,2025-05-08
ACCT000027,CUST00134,Loan,Closed,2023-06-26
ACCT000028,CUST00077,Loan,Active,2024-03-10
ACCT000029,CUST00159,Checking,Active,2025-04-12
ACCT000030,CUST00054,Savings,Active,2024-09-14
ACCT000031,CUST00021,Savings,Active,2021-12-22
ACCT000032,CUST00142,Checking,Active,2021-01-06
ACCT000033,CUST00105,Loan,Closed,2022-08-20
ACCT000034,CUST00009,Savings,Active,2024-12-18
ACCT000035,CUST00073,Loan,Active,2024-11-08
ACCT000036,CUST00060,Credit Card,Active,2023-05-21
ACCT000037,CUST00030,Savings,Active,2022-06-29
ACCT000038,CUST00212,Savings,Active,2021-05-03
ACCT000039,CUST00043,Credit Card,Active,2023-06-19
ACCT000040,CUST00032,Loan,Active,2024-12-04
ACCT000041,CUST00104,Credit Card,Closed,2023-06-16
ACCT000042,CUST00021,Checking,Closed,2025-02-13
ACCT000043,CUST00083,Credit Card,Active,2021-07-07
ACCT000044,CUST00059,Checking,Active,2024-03-26
ACCT000045,CUST00011,Savings,Closed,2023-11-29
ACCT000046,CUST00167,Loan,Active,2022-01-07
ACCT000047,CUST00150,Loan,Closed,2021-07-06
ACCT000048,CUST00121,Credit Card,Closed,2022-11-14
ACCT000049,CUST00083,Checking,Active,2022-11-07
ACCT000050,CUST00106,Loan,Active,2024-09-18
ACCT000051,CUST00242,Loan,Active,2023-07-21
ACCT000052,CUST00023,Credit Card,Active,2022-10-25
ACCT000053,CUST00030,Loan,Active,2024-09-08
ACCT000054,CUST00223,Loan,Closed,2021-04-22
ACCT000055,CUST00049,Credit Card,Closed,2024-07-04
ACCT000056,CUST00114,Checking,Active,2022-07-01
ACCT000057,CUST00141,Savings,Active,2023-06-17
ACCT000058,CUST00226,Loan,Active,2021-03-01
ACCT000059,CUST00250,Savings,Active,2022-09-29
ACCT000060,CUST00142,Checking,Closed,2021-07-10
ACCT000061,CUST00058,Checking,Closed,2021-08-29
ACCT000062,CUST00166,Savings,Closed,2025-01-07
ACCT000063,CUST00075,Credit Card,Closed,2025-09-06
ACCT000064,CUST00124,Loan,Active,2023-07-25
ACCT000065,CUST00142,Savings,Closed,2022-01-26
ACCT000066,CUST00236,Savings,Active,2022-07-20
ACCT000067,CUST00198,Loan,Active,2025-06-02
ACCT000068,CUST00130,Credit Card,Active,2022-08-03
ACCT000069,CUST00186,Credit Card,Closed,2025-11-08
ACCT000070,CUST00039,Loan,Closed,2022-12-08
ACCT000071,CUST00086,Loan,Closed,2022-10-22
ACCT000072,CUST00223,Savings,Active,2024-03-17
ACCT000073,CUST00099,Savings,Closed,2021-03-31
ACCT000074,CUST00082,Loan,Closed,2023-03-02
ACCT000075,CUST00170,Savings,Closed,2021-03-17
ACCT000076,CUST00033,Credit Card,Active,2025-11-26
ACCT000077,CUST00217,Loan,Active,2023-12-14
ACCT000078,CUST00234,Loan,Active,2025-01-19
ACCT000079,CUST00037,Loan,Active,2021-06-03
ACCT000080,CUST00121,Credit Card,Active,2024-06-30
ACCT000081,CUST00178,Loan,Active,2025-10-11
ACCT000082,CUST00085,Loan,Active,2024-07-07
ACCT000083,CUST00184,Loan,Active,2024-06-18
ACCT000084,CUST00018,Savings,Active,2022-04-11
ACCT000085,CUST00192,Checking,Closed,2021-07-21
ACCT000086,CUST00195,Checking,Closed,2021-12-07
ACCT000087,CUST00178,Credit Card,Active,2021-04-05
ACCT000088,CUST00084,Checking,Active,2023-01-05
ACCT000089,CUST00096,Loan,Active,2022-05-16
ACCT000090,CUST00136,Loan,Active,2021-12-15
ACCT000091,CUST00045,Checking,Closed,2024-06-23
ACCT000092,CUST00175,Savings,Closed,2024-04-09
ACCT000093,CUST00037,Savings,Closed,2024-07-30
ACCT000094,CUST00066,Loan,Active,2024-09-27
ACCT000095,CUST00003,Loan,Active,2024-10-19
ACCT000096,CUST00140,Savings,Active,2023-06-24
ACCT000097,CUST00242,Credit Card,Active,2024-08-01
ACCT000098,CUST00247,Loan,Active,2023-07-25
ACCT000099,CUST00217,Credit Card,Active,2023-02-27
ACCT000100,CUST00219,Loan,Active,2022-05-01
ACCT000101,CUST00098,Credit Card,Active,2024-12-03
ACCT000102,CUST00076,Checking,Closed,2022-07-17
ACCT000103,CUST00003,Checking,Closed,2025-09-02
ACCT000104,CUST00232,Credit Card,Active,2024-05-28
ACCT000105,CUST00206,Credit Card,Active,2024-07-27
ACCT000106,CUST00049,Credit Card,Active,2024-07-10
ACCT000107,CUST00025,Checking,Active,2025-06-04
ACCT000108,CUST00113,Checking,Active,2025-02-08
ACCT000109,CUST00034,Checking,Active,2022-11-01
ACCT000110,CUST00192,Loan,Active,2022-02-16
ACCT000111,CUST00034,Credit Card,Active,2025-08-28
ACCT000112,CUST00043,Credit Card,Closed,2025-07-10
ACCT000113,CUST00076,Credit Card,Active,2023-08-18
ACCT000114,CUST00247,Checking,Active,2025-03-25
ACCT000115,CUST00248,Savings,Closed,2025-09-29
ACCT000116,CUST00206,Credit Card,Active,2025-06-08
ACCT000117,CUST00102,Checking,Active,2024-01-04
ACCT000118,CUST00032,Loan,Active,2024-10-09
ACCT000119,CUST00192,Credit Card,Closed,2025-08-12
ACCT000120,CUST00164,Credit Card,Active,2024-10-14
ACCT000121,CUST00060,Loan,Active,2024-06-22
ACCT000122,CUST00227,Credit Card,Active,2024-08-19
ACCT000123,CUST00017,Loan,Active,2024-08-22
ACCT000124,CUST00105,Checking,Active,2021-04-03
ACCT000125,CUST00243,Checking,Active,2023-10-06
ACCT000126,CUST00030,Checking,Active,2025-12-23
ACCT000127,CUST00138,Savings,Closed,2023-07-19
ACCT000128,CUST00095,Loan,Active,2025-12-19
ACCT000129,CUST00107,Checking,Closed,2024-06-14
ACCT000130,CUST00105,Credit Card,Active,2024-11-14
ACCT000131,CUST00095,Savings,Closed,2023-06-30
