report_date,account_type,reported_balance,report_name
2025-01-31,Checking,1536448.77,FR 2052a
2025-01-31,Savings,1464715.96,FFIEC 031
2025-01-31,Credit Card,1222534.47,FR 2052a
2025-01-31,Loan,,FFIEC 031
2025-02-28,Checking,1235896.61,FFIEC 031
2025-02-28,Savings,3142628.78,FR Y-9C
2025-02-28,Credit Card,3307647.37,FR Y-9C
2025-02-28,Loan,962125.25,FR Y-9C
2025-03-31,Checking,2404216.98,FR 2052a
2025-03-31,Savings,4485117.82,FFIEC 031
2025-03-31,Credit Card,184190.88,FFIEC 031
2025-03-31,Loan,3052908.26,FFIEC 031
2025-04-30,Checking,430172.3,FFIEC 031
2025-04-30,Savings,1418316.24,FFIEC 031
2025-04-30,Credit Card,2716371.29,FR 2052a
2025-04-30,Loan,2811849.41,FR 2052a
2025-05-31,Checking,3643721.63,FFIEC 031
2025-05-31,Savings,2714920.97,FFIEC 031
2025-05-31,Credit Card,1303668.06,FFIEC 031
2025-05-31,Loan,1694841.51,FFIEC 031
2025-06-30,Checking,3855113.19,FR Y-9C
2025-06-30,Savings,4085198.25,FR Y-9C
2025-06-30,Credit Card,2572097.76,FFIEC 031
2025-06-30,Loan,2029647.81,FFIEC 031
2025-07-31,Checking,336887.89,FFIEC 031
2025-07-31,Savings,4248031.86,FFIEC 031
2025-07-31,Credit Card,4322272.62,FR 2052a
2025-07-31,Loan,2911936.07,FR 2052a
2025-08-31,Checking,2365785.55,FR 2052a
2025-08-31,Savings,958210.53,FFIEC 031
2025-08-31,Credit Card,3595805.49,FFIEC 031
2025-08-31,Loan,3236666.99,FFIEC 031
2025-09-30,Checking,428662.75,FR 2052a
2025-09-30,Savings,765930.84,FR 2052a
2025-09-30,Credit Card,2357786.25,FR 2052a
2025-09-30,Loan,3419874.53,FR 2052a
2025-10-31,Checking,2796547.17,FR Y-9C
2025-10-31,Savings,2079102.46,FR Y-9C
2025-10-31,Credit Card,2386439.05,FR Y-9C
2025-10-31,Loan,4722098.18,FR 2052a
2025-11-30,Checking,3953285.13,FR Y-9C
2025-11-30,Savings,3619943.69,FR Y-9C
2025-11-30,Credit Card,2085473.22,FR 2052a
2025-11-30,Loan,2665005.04,FR 2052a
2025-12-31,Checking,917788.08,FR 2052a
2025-12-31,Savings,718575.23,FFIEC 031
2025-12-31,Credit Card,1113775.76,FR Y-9C
2025-12-31,Loan,4974101.49,FR 2052a
