transaction_id,account_id,transaction_date,transaction_type,amount,currency
TXN00000001,ACCT000096,2025-05-29,Interest,3940.86,USD
TXN00000002,ACCT000309,2025-02-24,Purchase,1495.47,USD
TXN00000003,ACCT000329,2025-10-06,Fee,2274.47,GBP
TXN00000004,ACCT000069,2025-09-16,Interest,4446.85,CAD
TXN00000005,ACCT000058,2025-06-19,Fee,968.09,USD
TXN00000006,ACCT000368,2025-04-06,Interest,3243.19,USD
TXN00000007,ACCT000291,2025-12-12,Fee,3954.88,USD
TXN00000008,ACCT000328,2025-07-27,Payment,3056.72,CAD
TXN00000009,ACCT000206,2025-12-09,Transfer,1642.99,USD
TXN00000010,ACCT000245,2025-06-15,Payment,4908.52,USD
TXN00000011,ACCT000121,2025-08-17,Purchase,1307.62,USD
TXN00000012,ACCT000371,2025-10-21,Fee,1513.22,USD
TXN00000013,ACCT000355,2025-05-01,Fee,3270.15,USD
TXN00000014,ACCT000082,2025-07-27,Purchase,2329.65,GBP
TXN00000015,ACCT000328,2025-06-01,Fee,3453.0,USD
TXN00000016,ACCT000069,2025-09-02,Transfer,1108.14,USD
TXN00000017,ACCT000311,2025-07-11,Interest,3739.94,CAD
TXN00000018,ACCT000388,2025-10-03,Transfer,4564.42,USD
TXN00000019,ACCT000306,2025-02-11,Payment,3403.31,GBP
TXN00000020,ACCT000186,2025-02-09,Interest,2643.22,GBP
TXN00000021,ACCT000281,2025-09-16,Purchase,313.48,USD
TXN00000022,ACCT000085,2025-06-17,Transfer,2685.62,GBP
TXN00000023,ACCT000106,2025-10-26,Interest,585.62,CAD
TXN00000024,ACCT000229,2025-01-29,Purchase,4494.95,CAD
TXN00000025,ACCT000234,2025-10-16,Payment,2568.67,USD
TXN00000026,ACCT000158,2025-01-12,Transfer,-100.0,CAD
TXN00000027,ACCT000382,2025-04-22,Fee,4083.18,GBP
TXN00000028,ACCT000177,2025-12-25,Purchase,231.22,USD
TXN00000029,ACCT000036,2025-08-30,Transfer,4970.65,USD
TXN00000030,ACCT000394,2025-03-11,Fee,2047.29,CAD
TXN00000031,ACCT000196,2025-08-18,Fee,4964.32,CAD
TXN00000032,ACCT000339,2025-10-04,Interest,405.85,USD
TXN00000033,ACCT000276,2025-07-21,Fee,597.57,GBP
TXN00000034,ACCT000115,2025-01-02,Payment,3640.65,USD
TXN00000035,ACCT000369,2025-10-06,Fee,2317.7,CAD
TXN00000036,ACCT000118,2025-05-07,Transfer,1899.49,CAD
TXN00000037,ACCT000097,2025-02-27,Fee,779.83,USD
TXN00000038,ACCT000009,2025-05-04,Interest,3076.54,USD
TXN00000039,ACCT000018,2025-08-17,Purchase,508.98,GBP
TXN00000040,ACCT000023,2025-07-25,Purchase,1227.45,CAD
TXN00000041,ACCT000387,2025-01-29,Payment,2701.1,USD
TXN00000042,ACCT000120,2025-10-22,Transfer,4967.45,USD
TXN00000043,ACCT000345,2025-06-14,Transfer,2991.6,USD
TXN00000044,ACCT000339,2025-09-24,Fee,4381.91,USD
TXN00000045,ACCT000032,2025-10-13,Interest,1506.0,GBP
TXN00000046,ACCT000219,2025-10-12,Payment,3131.84,CAD
TXN00000047,ACCT000330,2025-12-10,Purchase,4861.59,CAD
TXN00000048,ACCT000214,2025-07-29,Transfer,1597.08,USD
TXN00000049,ACCT000387,2025-10-03,Fee,1885.42,CAD
TXN00000050,ACCT000154,2025-12-29,Payment,4247.46,USD
TXN00000051,ACCT999999,2025-07-31,Interest,4574.13,CAD
TXN00000052,ACCT000199,2025-05-05,Transfer,2652.31,USD
TXN00000053,ACCT000041,2025-08-19,Payment,1654.66,USD
TXN00000054,ACCT000098,2025-01-27,Purchase,2680.5,USD
TXN00000055,ACCT000309,2025-01-21,Interest,3369.99,USD
TXN00000056,ACCT000301,2025-12-10,Payment,4024.23,GBP
TXN00000057,ACCT000171,2025-06-05,Payment,2399.57,USD
TXN00000058,ACCT000380,2025-03-02,Payment,4686.11,CAD
TXN00000059,ACCT000361,2025-04-15,Payment,3479.65,CAD
TXN00000060,ACCT000398,2025-05-25,Payment,2762.64,CAD
TXN00000061,ACCT000184,2025-06-07,Interest,2670.58,USD
TXN00000062,ACCT000255,2025-08-27,Fee,2566.52,USD
TXN00000063,ACCT000164,2025-04-15,Interest,3809.34,USD
TXN00000064,ACCT000289,2025-04-24,Fee,2072.58,USD
TXN00000065,ACCT000300,2025-10-24,Purchase,1307.57,CAD
TXN00000066,ACCT000169,2025-04-28,Fee,766.29,CAD
TXN00000067,ACCT000256,2025-10-09,Transfer,4167.65,USD
TXN00000068,ACCT000251,2025-11-25,Fee,3817.99,CAD
TXN00000069,ACCT000181,2025-03-28,Interest,845.33,USD
TXN00000070,ACCT000278,2025-11-25,Transfer,2444.14,USD
TXN00000071,ACCT000039,2025-12-09,Transfer,173.95,USD
TXN00000072,ACCT000323,2025-04-29,Purchase,2064.9,USD
TXN00000073,ACCT000259,2025-08-22,Payment,50.66,USD
TXN00000074,ACCT000342,2025-11-12,Purchase,3091.09,CAD
TXN00000075,ACCT000273,2025-10-10,Interest,83.58,CAD
TXN00000076,ACCT000370,2025-05-21,Purchase,88.55,GBP
TXN00000077,ACCT000358,2025-12-12,Fee,90.63,CAD
TXN00000078,ACCT000050,2025-09-26,Payment,539.55,USD
TXN00000079,ACCT000270,2025-05-10,Payment,963.7,USD
TXN00000080,ACCT000041,2025-07-11,Fee,3975.71,CAD
TXN00000081,ACCT000357,2025-04-26,Interest,2827.19,USD
TXN00000082,ACCT000333,2025-01-17,Purchase,3270.41,USD
TXN00000083,ACCT000283,2025-09-01,Interest,1899.42,USD
TXN00000084,ACCT000043,2025-09-13,Purchase,3515.71,CAD
TXN00000085,ACCT000049,2025-09-28,Fee,2831.45,USD
TXN00000086,ACCT000355,2025-10-18,Payment,1061.03,CAD
TXN00000087,ACCT000039,2025-12-17,Fee,237.58,USD
TXN00000088,ACCT000017,2025-04-02,Transfer,2819.73,USD
TXN00000089,ACCT000301,2025-03-15,Purchase,4807.54,CAD
TXN00000090,ACCT000289,2025-05-04,Purchase,1499.89,GBP
TXN00000091,ACCT000277,2025-06-19,Interest,3386.79,CAD
TXN00000092,ACCT000353,2025-02-10,Payment,3953.54,GBP
TXN00000093,ACCT000224,2025-04-29,Fee,273.21,USD
TXN00000094,ACCT000315,2025-11-01,Fee,3027.82,CAD
TXN00000095,ACCT000140,2025-08-19,Fee,152.98,CAD
TXN00000096,ACCT000193,2025-08-10,Payment,1782.28,USD
TXN00000097,ACCT000044,2025-11-13,Transfer,3305.06,USD
TXN00000098,ACCT000043,2025-05-18,Payment,3566.98,USD
TXN00000099,ACCT000325,2025-03-20,Interest,3559.83,CAD
TXN00000100,ACCT000047,2025-01-03,Fee,1806.7,USD
TXN00000101,ACCT000139,2025-02-22,Interest,1802.79,USD
TXN00000102,ACCT000230,2025-10-13,Purchase,941.02,GBP
TXN00000103,ACCT000014,2025-02-15,Transfer,2043.18,USD
TXN00000104,ACCT000307,2025-06-16,Transfer,469.86,CAD
TXN00000105,ACCT000199,2025-02-13,Purchase,1462.78,GBP
TXN00000106,ACCT000087,2025-12-17,Payment,2861.94,CAD
