check_name,dimension,severity,account_id,customer_id,account_type,account_status,open_date
Account status must be valid,Validity,Medium,ACCT000001,CUST00133,Savings,Active,2022-05-10
Account status must be valid,Validity,Medium,ACCT000005,CUST00005,Checking,Active,2022-03-30
Account status must be valid,Validity,Medium,ACCT000006,CUST00104,Savings,Active,2024-09-21
Account status must be valid,Validity,Medium,ACCT000009,CUST00141,Credit Card,Active,2024-12-10
Account status must be valid,Validity,Medium,ACCT000010,CUST00117,Credit Card,Active,2022-05-30
Account status must be valid,Validity,Medium,ACCT000011,CUST99999,Checking,Active,2022-10-09
Account status must be valid,Validity,Medium,ACCT000012,CUST00031,Savings,Active,2022-03-20
Account status must be valid,Validity,Medium,ACCT000013,CUST00190,Loan,Active,2025-01-23
Account status must be valid,Validity,Medium,ACCT000014,CUST00151,Credit Card,Active,2025-09-02
Account status must be valid,Validity,Medium,ACCT000015,CUST00050,Credit Card,Active,2023-01-10
Account status must be valid,Validity,Medium,ACCT000016,CUST00046,Credit Card,Active,2024-12-21
Account status must be valid,Validity,Medium,ACCT000017,CUST00137,Savings,Active,2021-04-04
Account status must be valid,Validity,Medium,ACCT000018,CUST00250,Checking,Active,2024-11-29
Account status must be valid,Validity,Medium,ACCT000020,CUST00224,Checking,Active,2023-08-20
Account status must be valid,Validity,Medium,ACCT000021,CUST00123,Loan,Active,2022-01-13
Account status must be valid,Validity,Medium,ACCT000022,CUST00248,Checking,Active,2025-10-31
Account status must be valid,Validity,Medium,ACCT000023,CUST00123,Checking,Active,2023-04-01
Account status must be valid,Validity,Medium,ACCT000024,CUST00126,Checking,Active,2021-11-07
Account status must be valid,Validity,Medium,ACCT000025,CUST00039,Credit Card,Active,2022-05-24
Account status must be valid,Validity,Medium,ACCT000026,CUST00031,Loan,Active,2025-05-08
Account status must be valid,Validity,Medium,ACCT000028,CUST00077,Loan,Active,2024-03-10
Account status must be valid,Validity,Medium,ACCT000029,CUST00159,Checking,Active,2025-04-12
Account status must be valid,Validity,Medium,ACCT000030,CUST00054,Savings,Active,2024-09-14
Account status must be valid,Validity,Medium,ACCT000031,CUST00021,Savings,Active,2021-12-22
Account status must be valid,Validity,Medium,ACCT000032,CUST00142,Checking,Active,2021-01-06
